model,split,bin,rows,mean_predicted_probability,observed_positive_rate
Logistic Regression,train,1,35870,0.0735608280636498,0.0688597713967103
Logistic Regression,train,2,22010,0.1346737826026269,0.1462062698773285
Logistic Regression,train,3,4054,0.2385208419864853,0.2377898371978293
Logistic Regression,train,4,975,0.3403743585001196,0.3138461538461538
Logistic Regression,train,5,348,0.4438548732307247,0.3764367816091954
Logistic Regression,train,6,139,0.542966669417328,0.4532374100719424
Logistic Regression,train,7,60,0.6448371279423412,0.45
Logistic Regression,train,8,34,0.7458614499155358,0.6470588235294118
Logistic Regression,train,9,21,0.8452254842487955,0.4761904761904761
Logistic Regression,train,10,1,0.9474323312439752,1.0
Logistic Regression,validation,1,5356,0.0754757397920234,0.0569454817027632
Logistic Regression,validation,2,3352,0.1342416552625995,0.102326968973747
Logistic Regression,validation,3,477,0.2366436998445152,0.1970649895178197
Logistic Regression,validation,4,80,0.3372725908134181,0.2125
Logistic Regression,validation,5,11,0.4498917957524916,0.2727272727272727
Logistic Regression,validation,6,4,0.5328383693891933,0.5
Logistic Regression,validation,7,5,0.6324591930844473,0.4
Logistic Regression,validation,8,2,0.7455665212993043,0.5
Logistic Regression,test,1,6515,0.0755435544225884,0.0636991557943208
Logistic Regression,test,2,3726,0.1338005854133957,0.1119162640901771
Logistic Regression,test,3,481,0.2366918047490633,0.1871101871101871
Logistic Regression,test,4,67,0.3340749846258935,0.2985074626865671
Logistic Regression,test,5,23,0.4438038208277817,0.2608695652173913
Logistic Regression,test,6,6,0.5396888260892599,0.0
Logistic Regression,test,7,4,0.6419066306736594,0.25
HistGradientBoosting,train,1,34559,0.0676914879197268,0.0509852715645707
HistGradientBoosting,train,2,22289,0.1391392330744471,0.1387231369733949
HistGradientBoosting,train,3,5242,0.2368354994311608,0.2956886684471576
HistGradientBoosting,train,4,1012,0.3376911615054403,0.516798418972332
HistGradientBoosting,train,5,293,0.4430135188946629,0.6518771331058021
HistGradientBoosting,train,6,103,0.5353315663344197,0.7864077669902912
HistGradientBoosting,train,7,14,0.6296928039798253,0.9285714285714286
HistGradientBoosting,validation,1,5243,0.06965495513688,0.0541674613770741
HistGradientBoosting,validation,2,3421,0.1375498030682378,0.1034785150540777
HistGradientBoosting,validation,3,527,0.2357091420068509,0.1840607210626186
HistGradientBoosting,validation,4,76,0.3350033114559185,0.3157894736842105
HistGradientBoosting,validation,5,11,0.4473225314592388,0.4545454545454545
HistGradientBoosting,validation,6,7,0.5250516850803117,0.4285714285714285
HistGradientBoosting,validation,7,2,0.657211492000078,0.0
HistGradientBoosting,test,1,6447,0.0703145679629467,0.0618892508143322
HistGradientBoosting,test,2,3745,0.1374125664579826,0.1108144192256341
HistGradientBoosting,test,3,548,0.2355176310330332,0.2043795620437956
HistGradientBoosting,test,4,59,0.3360243329799964,0.3559322033898305
HistGradientBoosting,test,5,17,0.4484361369600617,0.0
HistGradientBoosting,test,6,6,0.5356226168061272,0.3333333333333333
DNN raw,train,1,36163,0.0604795253997948,0.0617205430965351
DNN raw,train,2,20612,0.1390884632476788,0.1452551911507859
DNN raw,train,3,5079,0.2387762892422711,0.2502461114392597
DNN raw,train,4,1149,0.3369540216922017,0.3951261966927763
DNN raw,train,5,347,0.441057359369802,0.4610951008645533
DNN raw,train,6,122,0.543870256501543,0.5655737704918032
DNN raw,train,7,34,0.6360627178192688,0.7941176470588235
DNN raw,train,8,6,0.743153049195477,0.8333333333333334
DNN raw,validation,1,5617,0.0621527086593658,0.05429944810397
DNN raw,validation,2,3023,0.1374562961231738,0.1078398941448891
DNN raw,validation,3,554,0.2367438159551588,0.187725631768953
DNN raw,validation,4,78,0.3312497563566812,0.3076923076923077
DNN raw,validation,5,12,0.4353149604260224,0.5
DNN raw,validation,6,2,0.5570650270112453,1.0
DNN raw,validation,7,1,0.6135734024289433,0.0
DNN raw,test,1,6825,0.0619584830509083,0.0612454212454212
DNN raw,test,2,3344,0.1378665476349469,0.1196172248803827
DNN raw,test,3,566,0.2364035635280887,0.1890459363957597
DNN raw,test,4,71,0.3354994510181132,0.2676056338028169
DNN raw,test,5,11,0.4493261680806329,0.2727272727272727
DNN raw,test,6,4,0.5316356666211878,0.25
DNN raw,test,7,1,0.627491864521083,1.0
DNN temperature-scaled,train,1,41670,0.0548335432454771,0.0676025917926565
DNN temperature-scaled,train,2,16565,0.1383039641793056,0.1635979474796257
