feature,categories_after_pooling,pooled_rare_levels,target_independence_chi2,target_independence_p_value,cramers_v,minimum_expected_count,expected_count_at_least_five_share,chi_square_assumptions_met,uniform_gof_chi2,uniform_gof_p_value,uniform_null_rejected_0_05,target_independence_fdr_p_value,target_associated_fdr_0_05
discharge_disposition_id,15,7,1028.5339353004167,1.1791789099135226e-210,0.12725692304586086,6.245433933744804,1.0,True,314992.21133014234,0.0,True,5.1883872036195e-209,True
diag_1,168,506,827.9959044233083,3.677960088216096e-88,0.11417899073955001,5.677667212495276,1.0,True,229001.75865978078,0.0,True,4.045756097037706e-87,True
previous_primary_diagnosis_family,19,2,727.4395879174984,8.486861146944183e-143,0.1070213861174272,1.476193475248772,0.9736842105263158,True,632153.875551077,0.0,True,1.8671094523277202e-141,True
diag_1_three_digit,151,490,721.5006529207784,1.3841627388647857e-75,0.10658362079644568,5.677667212495276,1.0,True,263948.9651404459,0.0,True,1.0150526751675095e-74,True
diag_3,149,566,719.4632840951701,6.379340366757814e-76,0.10643302934579055,5.677667212495276,1.0,True,330511.7528656002,0.0,True,5.613819522746876e-75,True
previous_discharge_disposition_id,13,9,623.5404706532731,9.928821266567037e-126,0.0990842049035838,8.743607507242725,1.0,True,422022.81764076086,0.0,True,1.4562271190964986e-124,True
diag_3_three_digit,136,547,596.4648923360653,3.1486878463091935e-59,0.09690909742186132,5.677667212495276,1.0,True,449110.8179871521,0.0,True,1.9791752176800645e-58,True
diag_2,145,536,565.7914856843051,2.5152330334679276e-51,0.09438441956207497,5.677667212495276,1.0,True,236500.83536969396,0.0,True,1.3833781684073603e-50,True
diag_2_three_digit,130,518,429.45561689960437,5.907446751238812e-34,0.08223018156432647,5.677667212495276,1.0,True,325139.6982617458,0.0,True,2.8880850783834194e-33,True
diag_3_family,20,1,129.40591408509619,1.8886330982363487e-18,0.04513871255122192,5.33700717974556,1.0,True,124976.8795818113,0.0,True,6.924988026866612e-18,True
insulin,4,0,120.06025227448677,7.489629199911503e-26,0.04347821755462181,620.0012596044842,1.0,True,29402.42398286938,0.0,True,3.295436847961061e-25,True
age,10,0,111.14246530488859,8.605273618770896e-20,0.041832336129211604,17.146554981735736,1.0,True,51932.161418314645,0.0,True,3.442109447508358e-19,True
diag_2_family,20,1,101.32686158891624,3.0777803950803537e-13,0.03994242250203681,5.564113868245371,1.0,True,138393.23554603854,0.0,True,9.028155825569037e-13,True
diag_1_family,18,2,97.58640387271261,2.486319246253112e-13,0.039198257600663325,6.35898727799471,1.0,True,102113.60108325984,0.0,True,7.81414620250978e-13,True
diabetesMed,2,0,59.13817693537194,1.4697981096000643e-14,0.030514486898588895,1770.637296888777,1.0,True,16453.115568711426,0.0,True,4.9747012940309865e-14,True
metformin,4,0,42.29814102035354,3.4681826767817974e-09,0.025806716204851927,41.333417306965615,1.0,True,110324.72616198513,0.0,True,9.537502361149943e-09,True
admission_source_id,11,4,31.155015544576347,0.0005531159987102347,0.022148080414851615,1.3626401309988663,0.9545454545454546,True,180662.60605869757,0.0,True,0.001280900207539491,True
A1Cresult,4,0,27.022312197990512,5.824284823072398e-06,0.02062687131444807,241.64151656379897,1.0,True,117959.27900239326,0.0,True,1.5074619542069734e-05,True
