epoch,dropout,train_cross_entropy,validation_log_loss,validation_pr_auc
1,0.0,0.39007145166397095,0.28155244956496067,0.14254650993152637
2,0.0,0.33840225140253705,0.28399181354677167,0.14869432253662843
3,0.0,0.330363992897291,0.27706870573327225,0.1513026063598101
4,0.0,0.3301606509420607,0.278678770957819,0.15901065744210915
5,0.0,0.32566093570656246,0.2780589685821687,0.15913058543281386
6,0.0,0.3269918877927084,0.2844354618607901,0.160263569842593
7,0.0,0.31990221119116224,0.27760452648405204,0.15660527457138188
8,0.0,0.316306956230648,0.2778588381577647,0.15518678422095242
9,0.0,0.3101178648925963,0.2796354847198738,0.14959810416303446
10,0.0,0.3038128297480326,0.284151350280645,0.1431212798533555
1,0.05,0.39120136414255413,0.28169587233505,0.14219379523784598
2,0.05,0.3396822777059343,0.28469821590789895,0.14893934763999522
3,0.05,0.33146464942939696,0.2768773203319255,0.15095299690123612
4,0.05,0.33159685513329884,0.27897955641857475,0.15888563527148386
5,0.05,0.3274549685773395,0.2784865801978775,0.15851526006525757
6,0.05,0.32862465059946455,0.2846236613007035,0.1614110644042797
7,0.05,0.32175636173240724,0.2770775080687406,0.15994493594817366
8,0.05,0.31899987090201604,0.2778509284406903,0.1571011275021074
9,0.05,0.31373412741555107,0.27859407934046215,0.15271919414432655
10,0.05,0.30851440959506565,0.2814732843874045,0.14723750162948793
1,0.1,0.391703111311746,0.2817164907321399,0.14219286177942733
2,0.1,0.3404988788423084,0.2839511835174052,0.149102344950816
3,0.1,0.33230191090750316,0.27675224497939654,0.15085606683899985
4,0.1,0.33236068345251535,0.27962258873464513,0.15909286538701778
5,0.1,0.3276402900616328,0.2776732297874347,0.15887654349233526
6,0.1,0.3289225891469017,0.2853210416103859,0.15899642203058434
7,0.1,0.32203897100592416,0.27747839998153107,0.15257607408756618
8,0.1,0.3196137741444603,0.27740664750331223,0.1581680318691739
1,0.15,0.39256492493644596,0.2817470553319512,0.1421782419427426
2,0.15,0.3410616143355294,0.2834571769668193,0.14934903187254264
3,0.15,0.3328178357037287,0.276804541381404,0.1520155098815156
4,0.15,0.3334642951450651,0.28074244166302037,0.15991702476542102
5,0.15,0.32844087055751253,0.2782156952266724,0.1588696595137109
6,0.15,0.33017835872513907,0.28479746337132034,0.15860391667452522
7,0.15,0.3238641418634899,0.2772821271756015,0.1586128169376348
8,0.15,0.3223249552741883,0.27778955047529974,0.15734782328402863
