comparison,feature,feature_type,psi,ks_statistic,js_divergence
train_to_validation,time_in_hospital,numeric,0.01631728453047905,0.05027629343660339,
train_to_validation,num_lab_procedures,numeric,0.05193375085721928,0.0614600065810843,
train_to_validation,num_procedures,numeric,0.0052531159950730075,0.023326474318764223,
train_to_validation,num_medications,numeric,0.011485003526922026,0.04634742639556744,
train_to_validation,number_outpatient,numeric,0.01483274024261315,0.04359545270438803,
train_to_validation,number_emergency,numeric,0.0,0.0021488941338575485,
train_to_validation,number_inpatient,numeric,0.08324174470963255,0.11222786382106265,
train_to_validation,number_diagnoses,numeric,0.15962477210994744,0.1874892487053994,
train_to_validation,age_midpoint,numeric,0.012238443571555215,0.032549008237449883,
train_to_validation,active_medication_count,numeric,0.024945653701476195,0.06349831064211997,
train_to_validation,medication_change_count,numeric,0.02981127855314797,0.07681034948931498,
train_to_validation,medication_up_count,numeric,0.01353685018963596,0.040249179863477536,
train_to_validation,medication_down_count,numeric,0.012639830944828682,0.03898703738543274,
train_to_validation,total_prior_utilization,numeric,0.009977470325277505,0.04554066647386268,
train_to_validation,acute_prior_utilization,numeric,0.05399333161010597,0.09442400478733792,
train_to_validation,has_inpatient_history,numeric,0.0,0.11222786382106265,
train_to_validation,labs_per_hospital_day,numeric,0.02040401513016558,0.049224629823509114,
train_to_validation,procedures_per_hospital_day,numeric,0.008176796961257358,0.028858882157239307,
train_to_validation,medications_per_hospital_day,numeric,0.04250894810206353,0.08311183219447887,
train_to_validation,care_intensity,numeric,0.03742978554420003,0.06306511561119788,
train_to_validation,prior_encounter_count,numeric,0.08902553307612938,0.11533218802955814,
train_to_validation,is_repeat_encounter,numeric,0.0,0.11533218802955814,
train_to_validation,prior_mean_time_in_hospital,numeric,0.03490108324709863,0.06468276721609584,
train_to_validation,prior_mean_num_lab_procedures,numeric,0.12322265318082508,0.1099365227597352,
train_to_validation,prior_mean_num_procedures,numeric,0.054828055752521226,0.07281295118549919,
train_to_validation,prior_mean_num_medications,numeric,0.019744525816910986,0.05438647538819308,
train_to_validation,prior_mean_number_diagnoses,numeric,0.24663257003136668,0.2712751868091911,
train_to_validation,race,categorical,,,0.0190316913279944
train_to_validation,gender,categorical,,,0.00035041258532952154
train_to_validation,age,categorical,,,0.003198733353011233
train_to_validation,admission_type_id,categorical,,,0.03506171317752093
