feature,feature_type,missing_rate,missing_type,cardinality_including_missing,top_value_share,non_mode_rows,exact_constant,ultra_rare_non_mode_lt_50
max_glu_serum,categorical,0.9271003904773901,test_result_not_recorded,4,0.9271003904773901,4630,False,False
A1Cresult,categorical,0.8392429777050007,test_result_not_recorded,4,0.8392429777050007,10210,False,False
prior_mean_time_in_hospital,numeric,0.7530860309862704,structural_no_prior_encounter,271,0.7530860309862704,15682,False,False
prior_mean_num_lab_procedures,numeric,0.7530860309862704,structural_no_prior_encounter,821,0.7530860309862704,15682,False,False
prior_mean_num_procedures,numeric,0.7530860309862704,structural_no_prior_encounter,161,0.7530860309862704,15682,False,False
prior_mean_num_medications,numeric,0.7530860309862704,structural_no_prior_encounter,527,0.7530860309862704,15682,False,False
prior_mean_number_diagnoses,numeric,0.7530860309862704,structural_no_prior_encounter,206,0.7530860309862704,15682,False,False
race,categorical,0.021019649829953396,ordinary_missing,6,0.7154081118528782,18075,False,False
examide,categorical,0.0,none,1,1.0,0,True,False
citoglipton,categorical,0.0,none,1,1.0,0,True,False
glimepiride-pioglitazone,categorical,0.0,none,1,1.0,0,True,False
metformin-rosiglitazone,categorical,0.0,none,1,1.0,0,True,False
metformin-pioglitazone,categorical,0.0,none,1,1.0,0,True,False
acetohexamide,categorical,0.0,none,2,0.9999842549439476,1,False,True
troglitazone,categorical,0.0,none,2,0.9999527648318428,3,False,True
glipizide-metformin,categorical,0.0,none,2,0.9999055296636856,6,False,True
tolbutamide,categorical,0.0,none,2,0.9997480791031617,16,False,True
miglitol,categorical,0.0,none,3,0.9997165889910568,18,False,True
tolazamide,categorical,0.0,none,3,0.9993859428139564,39,False,True
chlorpropamide,categorical,0.0,none,4,0.99881912079607,75,False,False
acarbose,categorical,0.0,none,4,0.9973233404710921,170,False,False
glyburide-metformin,categorical,0.0,none,4,0.9950875425116513,312,False,False
nateglinide,categorical,0.0,none,4,0.9934343116261494,417,False,False
repaglinide,categorical,0.0,none,4,0.9876558760549188,784,False,False
glimepiride,categorical,0.0,none,4,0.9532371835243734,2970,False,False
pioglitazone,categorical,0.0,none,4,0.9343273712054415,4171,False,False
rosiglitazone,categorical,0.0,none,4,0.9286276609144729,4533,False,False
max_glu_serum_recorded,numeric,0.0,none,2,0.9271003904773901,4630,False,False
number_emergency,numeric,0.0,none,20,0.9132289960952261,5511,False,False
glyburide,categorical,0.0,none,4,0.8822584708401562,7478,False,False
medication_up_count,numeric,0.0,none,4,0.8801328882730822,7613,False,False
medication_down_count,numeric,0.0,none,4,0.8787630683965235,7700,False,False
glipizide,categorical,0.0,none,4,0.871410127220053,8167,False,False
number_outpatient,numeric,0.0,none,29,0.8698041315027082,8269,False,False
A1Cresult_recorded,numeric,0.0,none,2,0.8392429777050007,10210,False,False
metformin,categorical,0.0,none,4,0.8084771381786119,12164,False,False
medication_change_count,numeric,0.0,none,5,0.7644382164000504,14961,False,False
diabetesMed,categorical,0.0,none,2,0.7544873409749339,15593,False,False
prior_encounter_count,numeric,0.0,none,23,0.7530860309862704,15682,False,False
is_repeat_encounter,numeric,0.0,none,2,0.7530860309862704,15682,False,False
previous_primary_diagnosis_family,categorical,0.0,none,20,0.7530860309862704,15682,False,False
previous_discharge_disposition_id,categorical,0.0,none,21,0.7530860309862704,15682,False,False
number_inpatient,numeric,0.0,none,18,0.684154175588865,20060,False,False
has_inpatient_history,numeric,0.0,none,2,0.684154175588865,20060,False,False
acute_prior_utilization,numeric,0.0,none,29,0.6476886257715078,22376,False,False
discharge_disposition_id,categorical,0.0,none,21,0.6023743544527018,25254,False,False
total_prior_utilization,numeric,0.0,none,35,0.5881408237813327,26158,False,False
change,categorical,0.0,none,2,0.5704748708905404,27280,False,False
gender,categorical,0.0,none,3,0.5402601083259856,29199,False,False
insulin,categorical,0.0,none,4,0.500472351681572,31726,False,False
admission_source_id,categorical,0.0,none,14,0.4965203426124197,31977,False,False
admission_type_id,categorical,0.0,none,8,0.4941113490364026,32130,False,False
active_medication_count,numeric,0.0,none,7,0.45920455976823277,34347,False,False
num_procedures,numeric,0.0,none,7,0.444514422471344,35280,False,False
procedures_per_hospital_day,numeric,0.0,none,56,0.444514422471344,35280,False,False
number_diagnoses,numeric,0.0,none,9,0.3957992190452198,38374,False,False
diag_2_family,categorical,0.0,none,20,0.3330394256203552,42360,False,False
diag_1_family,categorical,0.0,none,19,0.30978397783096107,43837,False,False
diag_3_family,categorical,0.0,none,20,0.3023680564302809,44308,False,False
age,categorical,0.0,none,10,0.2574316664567326,47162,False,False
age_midpoint,numeric,0.0,none,10,0.2574316664567326,47162,False,False
diag_3_three_digit,categorical,0.0,none,682,0.1845163118780703,51793,False,False
time_in_hospital,numeric,0.0,none,14,0.16900743166645674,52778,False,False
diag_2_three_digit,categorical,0.0,none,647,0.14376810681446026,54381,False,False
diag_3,categorical,0.0,none,714,0.12287441743292606,55708,False,False
diag_1_three_digit,categorical,0.0,none,640,0.08936893815341983,57836,False,False
diag_1,categorical,0.0,none,673,0.07231704244867111,58919,False,False
diag_2,categorical,0.0,none,680,0.06923101146240081,59115,False,False
num_medications,numeric,0.0,none,75,0.06148444388462023,59607,False,False
medications_per_hospital_day,numeric,0.0,none,503,0.049455221060586974,60371,False,False
num_lab_procedures,numeric,0.0,none,114,0.031647562665323085,61502,False,False
care_intensity,numeric,0.0,none,159,0.019933240962337825,62246,False,False
labs_per_hospital_day,numeric,0.0,none,849,0.01352500314901121,62653,False,False
