rank,feature,feature_type,mutual_information,abs_point_biserial,normalized_categorical_mi,missing_rate,cardinality
1,prior_mean_number_diagnoses,numeric,0.015361711951918267,0.006186958170209772,,0.7530860309862704,205
2,prior_mean_num_medications,numeric,0.015159621901161602,0.01864857833794817,,0.7530860309862704,526
3,prior_mean_num_procedures,numeric,0.014500802171589777,0.008324034509873388,,0.7530860309862704,160
4,prior_mean_num_lab_procedures,numeric,0.013701863872643383,0.003174421043844292,,0.7530860309862704,820
5,acute_prior_utilization,numeric,0.011753611933756014,0.15457582943469986,,0.0,29
6,prior_mean_time_in_hospital,numeric,0.010853792706633225,0.04108147605188688,,0.7530860309862704,270
7,diag_1,categorical,0.010816397622746323,,0.004254448225054301,0.0,673
8,has_inpatient_history,numeric,0.010630448371586443,0.12492051137939002,,0.0,2
9,number_inpatient,numeric,0.01012267797355304,0.15975965123089053,,0.0,18
10,diag_1_three_digit,categorical,0.009921453996941266,,0.004099539794686596,0.0,640
11,diag_3,categorical,0.009894496059619194,,0.004126728260476769,0.0,714
12,diag_2,categorical,0.008894637541427637,,0.0036872736220212136,0.0,680
13,diag_3_three_digit,categorical,0.008835267699553489,,0.0039026405946311223,0.0,682
14,total_prior_utilization,numeric,0.00883243946509027,0.1273077114015957,,0.0,35
15,diag_2_three_digit,categorical,0.0075511269872417745,,0.0033185441199824624,0.0,647
16,discharge_disposition_id,categorical,0.006956779826357581,,0.007917183372890617,0.0,21
17,is_repeat_encounter,numeric,0.005605465579505031,0.09670182603677727,,0.0,2
18,active_medication_count,numeric,0.0054846923175797535,0.005975785086990547,,0.0,7
19,prior_encounter_count,numeric,0.00527608503198862,0.11011232845072066,,0.0,23
20,previous_primary_diagnosis_family,categorical,0.005034974800997231,,0.006812176377156506,0.0,20
21,previous_discharge_disposition_id,categorical,0.004610621426932259,,0.007138128433340323,0.0,21
22,number_diagnoses,numeric,0.004497820523700291,0.06284510455479862,,0.0,9
23,time_in_hospital,numeric,0.0033094050287434396,0.05432245802359989,,0.0,14
24,age_midpoint,numeric,0.0031591435050473127,0.030285466240841878,,0.0,10
25,labs_per_hospital_day,numeric,0.0030969423329563206,0.038981939104558536,,0.0,849
26,number_emergency,numeric,0.003024563223850585,0.06220410596934798,,0.0,20
27,procedures_per_hospital_day,numeric,0.0025160046685193116,0.0396536127169274,,0.0,56
