epoch,attention_dropout,train_cross_entropy,validation_log_loss,validation_pr_auc
1,0.0,0.35022928500175476,0.2849395348762674,0.14891854613816058
2,0.0,0.3326960339546204,0.2849058563400663,0.1560722848345735
3,0.0,0.32502151572704313,0.2766071426431293,0.15134621504369616
4,0.0,0.31957652139663695,0.28676837659579196,0.15045681705834182
5,0.0,0.31254532873630525,0.28793396518197295,0.13908153740832374
1,0.05,0.35020293688774107,0.2890994200223155,0.1482956558428427
2,0.05,0.3331208593845367,0.28120097547759326,0.1596855152236687
3,0.05,0.3258163439035416,0.27696951063369163,0.15090236548893027
4,0.05,0.3205514447689056,0.2862876472290572,0.15027377653340543
5,0.05,0.31512782645225523,0.28785257690675087,0.14279729241924283
