age,rows,observed_readmission_rate,mean_predicted_risk
[70-80),5234,0.1199847153228888,0.48976315242726215
[60-70),4547,0.11634044424895536,0.4434430186038039
[50-60),3457,0.08706971362452993,0.40885511829745713
[80-90),3414,0.12419449326303457,0.500172311278789
[40-50),1913,0.0982749607945635,0.4388527463053434
[30-40),725,0.10758620689655173,0.4190779484121829
[90-100),576,0.1284722222222222,0.4986119573296037
[20-30),324,0.13271604938271606,0.4413633449773525
[10-20),130,0.046153846153846156,0.24522834146593753
[0-10),34,0.0,0.14029678513086208
