rows,positive_rate,threshold,roc_auc,pr_auc,accuracy,precision,recall,f1,brier_score,ece_10_bin,log_loss,flagged_rate,true_positives,false_positives,false_negatives,true_negatives,model,split
63512,0.1135533442499055,0.164,0.6743780311381563,0.2200693053155678,0.8095635470462275,0.2410648000848446,0.3151691625069329,0.273180698275344,0.0962296458237071,0.0080310984263616,0.3341596975002491,0.1484601335180753,2273,7156,4939,49144,Logistic Regression,train
9287,0.0825885646602778,0.164,0.6347509655936489,0.1470264518278252,0.8385915796274362,0.1772486772486772,0.2620599739243807,0.2114676486059968,0.0749230574896459,0.025715573930879,0.2796116970944426,0.1221061699149348,201,933,566,7587,Logistic Regression,validation
10822,0.0876917390500831,0.164,0.630097763194253,0.1443070122565539,0.8421733505821475,0.1770212765957446,0.2191780821917808,0.1958568738229755,0.0789891304062677,0.0179220354579541,0.2902958806562435,0.108575124745888,208,967,741,8906,Logistic Regression,test
63512,0.1135533442499055,0.136,0.7449103108200364,0.3206006400723404,0.744835621614813,0.2407770348166935,0.5791735995562951,0.3401465798045602,0.0911100607424006,0.0183844240762098,0.3147559458816938,0.2731452323970273,4177,13171,3035,43129,HistGradientBoosting,train
9287,0.0825885646602778,0.136,0.6409927404496514,0.1538610015342385,0.7481425648756326,0.1472172351885098,0.4276401564537158,0.2190317195325542,0.0745988164932276,0.0246050406504656,0.2780748399378711,0.2399052438893076,328,1900,439,6620,HistGradientBoosting,validation
10822,0.0876917390500831,0.136,0.6406001103370018,0.1497205808951649,0.7597486601367585,0.1482743928419258,0.3667017913593256,0.2111650485436893,0.0786685958549664,0.016725508892229,0.2885744450928767,0.2168730364073184,348,1999,601,7874,HistGradientBoosting,test
63512,0.1135533442499055,0.15,0.7074641472324104,0.2587758852705367,0.7736648192467566,0.2393566698202459,0.4560454797559622,0.3139407244785949,0.0938043339597071,0.0049218800986379,0.3243352459054818,0.2163528152160221,3289,10452,3923,45848,DNN raw,train
9287,0.0825885646602778,0.15,0.6473565534886853,0.1619292122661182,0.7986432647787229,0.1593576281655342,0.3363754889178618,0.2162615255658005,0.0741339804283713,0.0177572269385469,0.2761539825233337,0.17432970819425,258,1361,509,7159,DNN raw,validation
10822,0.0876917390500831,0.15,0.636505751601717,0.1518681336735372,0.8007761966364813,0.1497388276262333,0.2718651211801897,0.1931137724550898,0.0785541923406225,0.0093290425747317,0.2884062840553577,0.1592127148401404,258,1465,691,8408,DNN raw,test
63512,0.1135533442499055,0.132,0.7074641435381529,0.2587758852705366,0.7720115883612546,0.2378444668878949,0.4571547420965058,0.3128974091297333,0.094146168374441,0.0184124934982573,0.3261046277718446,0.2182579669983625,3297,10565,3915,45735,DNN temperature-scaled,train
9287,0.0825885646602778,0.132,0.6473565534886853,0.1619292122661182,0.7971357811995262,0.1584097859327217,0.3376792698826597,0.2156536219816819,0.0737456723798901,0.0112667037191694,0.2749098671555177,0.1760525465704748,259,1376,508,7144,DNN temperature-scaled,validation
10822,0.0876917390500831,0.132,0.636505751601717,0.1518681336735372,0.7992977268527075,0.1483611270845313,0.2718651211801897,0.1919642857142857,0.078415468936203,0.0120987695361975,0.2886777247490574,0.1606911846239142,258,1481,691,8392,DNN temperature-scaled,test
63512,0.1135533442499055,0.1999999999999999,0.6792827402326298,0.2230032264659166,0.7721532938657262,0.2208291669871548,0.3980865224625624,0.2840746054519368,0.0974409282536337,0.0319273168379211,0.3375216805499822,0.2047014737372465,2871,10130,4341,46170,FT-Transformer raw,train
9287,0.0825885646602778,0.1999999999999999,0.6391427334104584,0.1529163051854701,0.8201787444815333,0.1687454145267791,0.2998696219035202,0.215962441314554,0.0774297351214643,0.0516886961342658,0.2887448881841588,0.1467642941746527,230,1133,537,7387,FT-Transformer raw,validation
10822,0.0876917390500831,0.1999999999999999,0.6345166331055618,0.1480724127301273,0.8254481611532064,0.1717877094972067,0.2592202318229715,0.2066358672826543,0.0810158680461844,0.0431503190904296,0.2975422521837734,0.1323230456477545,246,1186,703,8687,FT-Transformer raw,test
63512,0.1135533442499055,0.146,0.6792827402326299,0.2230032264659166,0.7732554477893941,0.2205116242904906,0.3932334997226844,0.2825686245205002,0.0965345840857153,0.0231238844037013,0.3362990783432039,0.2024971658899105,2836,10025,4376,46275,FT-Transformer temperature-scaled,train
9287,0.0825885646602778,0.146,0.6391427334104584,0.1529163051854701,0.8231937116399268,0.1712997746055597,0.2972620599739243,0.217349857006673,0.0745125171145935,0.018139694456514,0.27762302624516,0.1433186174222031,228,1103,539,7417,FT-Transformer temperature-scaled,validation
10822,0.0876917390500831,0.146,0.6345166331055618,0.1480724127301273,0.8275734614673813,0.1732002851033499,0.256059009483667,0.2066326530612245,0.0789399357022457,0.0198631770649743,0.2905360513376473,0.1296433191646645,243,1160,706,8713,FT-Transformer temperature-scaled,test
63512,0.11355334424990553,0.16799999999999998,0.705556361314131,0.28523863156224927,0.8123504219675022,0.26854219948849106,0.3785357737104825,0.3141903556220509,0.09300295716236087,0.009771448491921202,0.32360192031817375,0.16006423982869378,2730,7436,4482,48864,CatBoost,train
9287,0.08258856466027781,0.16799999999999998,0.64292821247345,0.1566735246433668,0.8464520297189619,0.19405756731662024,0.27249022164276404,0.22668112798264642,0.07437618576956899,0.023382976797845345,0.2773347867773997,0.11596855819963389,209,868,558,7652,CatBoost,validation
10822,0.08769173905008316,0.16799999999999998,0.6403061238103259,0.15138212122583988,0.8490112733321012,0.19116321009918846,0.22339304531085352,0.20602526724975703,0.07853602143883218,0.015734272037364955,0.28841331849629137,0.1024764368878211,212,897,737,8976,CatBoost,test
