feature,missing_rows,missing_rate,decision
weight,98569.0,0.9685847925633315,drop_high_missing_raw_field
max_glu_serum,96420.0,0.9474677200636755,retain_as_category_plus_recorded_indicator
A1Cresult,84748.0,0.8327732248491637,retain_as_category_plus_recorded_indicator
medical_specialty,49949.0,0.49082208203132677,drop_high_missing_raw_field
payer_code,40256.0,0.395574160328597,drop_high_missing_raw_field
race,2273.0,0.022335554114340742,retain
diag_3,1423.0,0.013983059174970029,retain
diag_2,358.0,0.0035178743391702533,retain
diag_1,21.0,0.0002063557573256294,retain
patient_nbr,0.0,0.0,retain
time_in_hospital,0.0,0.0,retain
admission_source_id,0.0,0.0,retain
num_lab_procedures,0.0,0.0,retain
encounter_id,0.0,0.0,retain
admission_type_id,0.0,0.0,retain
discharge_disposition_id,0.0,0.0,retain
gender,0.0,0.0,retain
age,0.0,0.0,retain
number_inpatient,0.0,0.0,retain
number_emergency,0.0,0.0,retain
number_outpatient,0.0,0.0,retain
num_medications,0.0,0.0,retain
num_procedures,0.0,0.0,retain
number_diagnoses,0.0,0.0,retain
metformin,0.0,0.0,retain
repaglinide,0.0,0.0,retain
nateglinide,0.0,0.0,retain
chlorpropamide,0.0,0.0,retain
glimepiride,0.0,0.0,retain
acetohexamide,0.0,0.0,retain
glipizide,0.0,0.0,retain
glyburide,0.0,0.0,retain
tolbutamide,0.0,0.0,retain
pioglitazone,0.0,0.0,retain
rosiglitazone,0.0,0.0,retain
acarbose,0.0,0.0,retain
miglitol,0.0,0.0,retain
troglitazone,0.0,0.0,retain
tolazamide,0.0,0.0,retain
examide,0.0,0.0,retain
citoglipton,0.0,0.0,retain
insulin,0.0,0.0,retain
glyburide-metformin,0.0,0.0,retain
glipizide-metformin,0.0,0.0,retain
glimepiride-pioglitazone,0.0,0.0,retain
metformin-rosiglitazone,0.0,0.0,retain
metformin-pioglitazone,0.0,0.0,retain
change,0.0,0.0,retain
diabetesMed,0.0,0.0,retain
readmitted,0.0,0.0,retain
